path	identity	name	run_folder	released_surface	status	files	withheld	generated
orca-calculation-files/contaminants/AHIPJALLQVEEQF-UHFFFAOYSA-N	AHIPJALLQVEEQF-UHFFFAOYSA-N	4-(Diglycidylamino)phenyl glycidyl ether	campaign-v1/runs/AHIPJALLQVEEQF-UHFFFAOYSA-N	contaminants/AHIPJALLQVEEQF-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHMSERHYRMNFKO-UHFFFAOYSA-N	AHMSERHYRMNFKO-UHFFFAOYSA-N	6-Methyl-1,2,3,5-tetrahydro-s-indacene	campaign-v1/runs/AHMSERHYRMNFKO-UHFFFAOYSA-N	contaminants/AHMSERHYRMNFKO-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHNZGLABLPCXKB-UHFFFAOYSA-N	AHNZGLABLPCXKB-UHFFFAOYSA-N	Cyclohexene, 1-octyl-	campaign-v1/runs/AHNZGLABLPCXKB-UHFFFAOYSA-N	contaminants/AHNZGLABLPCXKB-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHQSSWHOKBCJFA-WUKNDPDISA-N	AHQSSWHOKBCJFA-WUKNDPDISA-N	2-Octadecenal	campaign-v1/runs/AHQSSWHOKBCJFA-WUKNDPDISA-N	contaminants/AHQSSWHOKBCJFA-WUKNDPDISA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHRSDJSWAISEMM-UHFFFAOYSA-N	AHRSDJSWAISEMM-UHFFFAOYSA-N	2-[2-(2-Hydroxyphenyl)-2-oxoethoxy]benzoic acid	campaign-v1/runs/AHRSDJSWAISEMM-UHFFFAOYSA-N	contaminants/AHRSDJSWAISEMM-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHSGHEXYEABOKT-UHFFFAOYSA-N	AHSGHEXYEABOKT-UHFFFAOYSA-N	Triethylene glycol dibenzoate	campaign-v1/runs/AHSGHEXYEABOKT-UHFFFAOYSA-N	contaminants/AHSGHEXYEABOKT-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHWMWMNEYBHQNL-UHFFFAOYSA-N	AHWMWMNEYBHQNL-UHFFFAOYSA-N	Sudan Brown RR	campaign-v1/runs/AHWMWMNEYBHQNL-UHFFFAOYSA-N	contaminants/AHWMWMNEYBHQNL-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AIJULSRZWUXGPQ-UHFFFAOYSA-N	AIJULSRZWUXGPQ-UHFFFAOYSA-N	Methylglyoxal	campaign-v1/runs/AIJULSRZWUXGPQ-UHFFFAOYSA-N	contaminants/AIJULSRZWUXGPQ-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AILNGZQURMVSDH-UHFFFAOYSA-N	AILNGZQURMVSDH-UHFFFAOYSA-N	2-[({[(Butan-2-ylidene)amino]oxy}carbonyl)amino]ethyl 2-methylprop-2-enoate	campaign-v1/runs/AILNGZQURMVSDH-UHFFFAOYSA-N	contaminants/AILNGZQURMVSDH-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AISZSTYLOVXFII-CMDGGOBGSA-N	AISZSTYLOVXFII-CMDGGOBGSA-N	2-Octenoic acid, ethyl ester	campaign-v1/runs/AISZSTYLOVXFII-CMDGGOBGSA-N	contaminants/AISZSTYLOVXFII-CMDGGOBGSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AISZSTYLOVXFII-UHFFFAOYSA-N	AISZSTYLOVXFII-UHFFFAOYSA-N	2-Octenoic acid ethyl ester	campaign-v1/runs/AISZSTYLOVXFII-UHFFFAOYSA-N	contaminants/AISZSTYLOVXFII-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AJBDZJRXIGPVIO-UHFFFAOYSA-N	AJBDZJRXIGPVIO-UHFFFAOYSA-N	3,3,5,7-Tetramethyl-1-indanone	campaign-v1/runs/AJBDZJRXIGPVIO-UHFFFAOYSA-N	contaminants/AJBDZJRXIGPVIO-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AJKOAOUQPNLZTF-UHFFFAOYSA-N	AJKOAOUQPNLZTF-UHFFFAOYSA-N	Propanenitrile, 3-[[4-[(4-nitrophenyl)azo]phenyl](phenylmethyl)amino]-	campaign-v1/runs/AJKOAOUQPNLZTF-UHFFFAOYSA-N	contaminants/AJKOAOUQPNLZTF-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AJKVQEKCUACUMD-UHFFFAOYSA-N	AJKVQEKCUACUMD-UHFFFAOYSA-N	2-Acetylpyridine	campaign-v1/runs/AJKVQEKCUACUMD-UHFFFAOYSA-N	contaminants/AJKVQEKCUACUMD-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AJTXHMVZAVWDOU-UHFFFAOYSA-N	AJTXHMVZAVWDOU-UHFFFAOYSA-N	Carbonic acid, prop-1-en-2-yl undecyl ester	campaign-v1/runs/AJTXHMVZAVWDOU-UHFFFAOYSA-N	contaminants/AJTXHMVZAVWDOU-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AKGGYBADQZYZPD-UHFFFAOYSA-N	AKGGYBADQZYZPD-UHFFFAOYSA-N	Benzylacetone	campaign-v1/runs/AKGGYBADQZYZPD-UHFFFAOYSA-N	contaminants/AKGGYBADQZYZPD-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AKMGDTMKQDDQNP-UHFFFAOYSA-N	AKMGDTMKQDDQNP-UHFFFAOYSA-N	Phthalic acid, 2-isopropylphenyl methyl ester	campaign-v1/runs/AKMGDTMKQDDQNP-UHFFFAOYSA-N	contaminants/AKMGDTMKQDDQNP-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AKNMPWVTPUHKCG-UHFFFAOYSA-N	AKNMPWVTPUHKCG-UHFFFAOYSA-N	2,2'-Methylenebis(6-cyclohexyl-p-cresol)	campaign-v1/runs/AKNMPWVTPUHKCG-UHFFFAOYSA-N	contaminants/AKNMPWVTPUHKCG-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AKRYBBWYDSDZHG-UHFFFAOYSA-N	AKRYBBWYDSDZHG-UHFFFAOYSA-N	N-Nitrosobis(2-oxopropyl)amine	campaign-v1/runs/AKRYBBWYDSDZHG-UHFFFAOYSA-N	contaminants/AKRYBBWYDSDZHG-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AKTLQTMAOYZJGI-FNORWQNLSA-N	AKTLQTMAOYZJGI-FNORWQNLSA-N	3-Eicosene, (E)-	campaign-v1/runs/AKTLQTMAOYZJGI-FNORWQNLSA-N	contaminants/AKTLQTMAOYZJGI-FNORWQNLSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AKTVSHXUPUGPRY-UHFFFAOYSA-N	AKTVSHXUPUGPRY-UHFFFAOYSA-N	Bicyclo[3.1.1]heptane, 6,6-dimethyl-3-methylene-	campaign-v1/runs/AKTVSHXUPUGPRY-UHFFFAOYSA-N	contaminants/AKTVSHXUPUGPRY-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
