polymer,convention,solute,solvent,A_logP_concentration,B_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed
pvc,existing,DBP,diphenyl ether,0.1397097079055851,-0.43152980268965263,-0.5712395105952377,-0.16169198204300936,-0.7388761689904227,True
pvc,existing,DBP,ethyl acetate,0.4590320099931275,-0.1607913355797489,-0.6198233455728763,-0.10796092549122176,-0.7299711540878925,True
pvc,existing,DBP,isopropylamine,0.2606228925469916,-0.04284390773574975,-0.30346680028274137,-0.3877030196709165,-0.7053819748909387,True
pvc,existing,DBP,methylacetate,0.528668997232451,-0.11204932819575597,-0.640718325428207,-0.12211492343530081,-0.7675579891590337,True
pvc,existing,DBP,"n,n-dimethylformamide",0.5688411181909184,-0.15907083043930803,-0.7279119486302265,-0.059358892790073906,-0.7947742787758999,True
pvc,existing,DBP,o-xylene,0.2944280765548657,-0.23827372964363225,-0.5327018061984979,-0.15577998494394776,-0.6965650870700666,True
pvc,existing,DBP,toluene,0.4485479665101049,-0.07408500440753452,-0.5226329709176394,-0.06710926551526668,-0.593882896199038,True
pvc,existing,DBP,triethylamine,0.09319792977770536,-0.47120117196262656,-0.5643991017403319,-0.33714942214496857,-0.9137065686538779,True
pvc,existing,BBP,acetylacetone,0.35129432103880837,-0.3924904996511831,-0.7437848206899915,-0.15406926702467377,-0.9124678215550104,True
pvc,existing,BBP,dimethyl sulfoxide,0.48465713151812456,-0.18021269159189635,-0.664869823110021,-0.1566890908240683,-0.8339781538160114,True
pvc,existing,BBP,diphenyl ether,0.1481862539344645,-0.42082042545818815,-0.5690066793926527,-0.15321543601412996,-0.7281667917589583,True
pvc,existing,BBP,o-xylene,0.2666464594951819,-0.23570760382725742,-0.5023540633224393,-0.18356160200363153,-0.6939989612536918,True
pvc,existing,BBP,toluene,0.44154523799406287,-0.06038585948380437,-0.5019310974778672,-0.07411199403130878,-0.5801837512753079,True
pvc,existing,BBP,triethylamine,0.007585854141817339,-0.5294708520911063,-0.5370567062329237,-0.4227614977808566,-0.9719762487823577,True
pvc,existing,DEHP,2-butanone,0.8493427860745059,-0.057617628486949624,-0.9069604145614555,0.24338384654087386,-0.6733571161887779,True
pvc,existing,DEHP,acetone,0.8635365066300148,-0.11628037580294515,-0.97981688243296,0.1630982225456046,-0.8230960670663703,True
pvc,existing,DEHP,cyclohexane,0.637281395796132,-0.03198884786043754,-0.6692702436565695,0.10224886562820014,-0.5695646393745705,True
pvc,existing,DEHP,dimethyl sulfoxide,0.0645804778497635,-0.8394189279181835,-0.903999405767947,-0.5767657444924293,-1.4931843901422985,True
pvc,existing,DEHP,diphenyl ether,0.449729511128959,-0.2045992036819117,-0.6543287148108707,0.14832782118036456,-0.5119455699826818,True
pvc,existing,DEHP,ethyl acetate,0.6306320608171264,-0.07444834869945816,-0.7050804095165846,0.06363912533277714,-0.6436281672076017,True
pvc,existing,DEHP,heptane,0.17854337102897713,-0.49521314157921836,-0.6737565126081955,-0.2336856802916599,-0.921504001440767,True
pvc,existing,DEHP,hexane,0.147753359491565,-0.5396266307749148,-0.6873799902664798,-0.14967423868004062,-0.8282985286185076,True
pvc,existing,DEHP,methylacetate,0.6212572496223764,-0.12783040419154146,-0.7490876538139178,-0.02952667104537539,-0.7833390651548192,True
pvc,existing,DEHP,"n,n-dimethylformamide",0.6920020782395458,-0.216819114698392,-0.9088211929379378,0.06380206725855357,-0.8525225630349839,True
pvc,existing,DEHP,tert-butanol,0.1921758574160225,-0.5323273223274031,-0.7245031797434256,-0.3836888406879678,-1.1271329722661507,True
pvc,existing,DEHP,triethylamine,0.6974213732828336,-0.013011476444614756,-0.7104328497274484,0.2670740213601596,-0.4555168731358661,True
pvdf,existing,BBP,tetrahydrofuran,-0.4658700445609866,0.15175688119249736,0.6176269257534839,-1.0738542947525702,-0.4650130209981181,True
pvdf,existing,DEHP,"2,3-dihydropyran",-0.12055928555426698,0.5806150130648876,0.7011742986191546,-0.6718227884712091,0.019984836455116683,True
pvdf,existing,DEHP,2-butanone,-0.34262738043700636,0.03801523339214563,0.380642613829152,-0.9166263668243599,-0.5511734238100375,True
pvdf,existing,DEHP,benzene,-0.07306717152474618,0.7013935302152996,0.7744607017400458,-0.6367271576031659,0.13302282757394138,True
pvdf,existing,DEHP,cyclohexane,-0.5546887707153803,0.06364401401865771,0.618332784734038,-1.0577613477370336,-0.4473809469958301,True
pvdf,existing,DEHP,ethyl acetate,-0.561338105694386,0.021184513179636988,0.582522618874023,-1.0963710880324566,-0.5214444748288614,True
pvdf,existing,DEHP,isopropylamine,-0.6287008586306408,0.2650197777712143,0.8937206364018552,-1.2450668177022703,-0.37096745888432936,True
pvdf,existing,DEHP,o-xylene,-0.4099349440788973,0.26729950175669415,0.6772344458355914,-0.8281830524314322,-0.16444102517009493,True
pvdf,existing,DEHP,toluene,-0.277471984768321,0.45055644739730133,0.7280284321656223,-0.7611692636474141,-0.042690613894557014,True
pvdf,existing,DEHP,triethylamine,-0.4945487932286788,0.08262138543448039,0.5771701786631591,-0.8929361920050742,-0.33333318075712576,True
