solute,solvent,A_status,A_solvent_volume_cm3_mol,A_solvent_volume_source,A_PE_volume_cm3_mol,A_PE_volume_source,A_logP_x,A_logP_concentration,A_legacy_unnormalized_x1e5_logP_concentration,B_status,B_solvent_volume_cm3_mol,B_solvent_volume_source,B_PE_volume_cm3_mol,B_PE_volume_source,B_logP_x,B_logP_concentration,B_legacy_unnormalized_x1e5_logP_concentration,B_OPT_weight_sensitivity_logP_concentration,delta_B_minus_A,delta_B_minus_A_x,sign_changed
BBP,ethanol,predicted,58.65008930742506,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.37561581812112776,0.8083606473365139,0.3179972478290332,predicted,58.65008930742506,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.20775797988751088,0.635422114362361,0.16307771855958086,0.635236952856792,-0.17293853297415296,-0.16785783823361689,False
BBP,ethyl acetate,predicted,98.51620766383772,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.4230397002816282,1.6305455217339526,1.1401383991070042,predicted,98.51620766383772,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.1546417128930366,1.357066839604825,0.8846748574610558,1.3568816780992563,-0.2734786821291275,-0.26839798738859155,False
BBP,ethylene glycol,predicted,55.92568231170541,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,-0.7554704640478286,-0.3020682484096757,-0.7923869643328202,predicted,55.92568231170541,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,-0.6993238043061655,-0.2510022834085487,-0.7233096865296134,-0.2511874449141176,0.051065965001127034,0.05614665974166311,False
BBP,heptane,predicted,147.45353679532644,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.27893890532720106,0.31129721837581453,-0.17905908130567483,predicted,147.45353679532644,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.11373596805055987,0.14101358635863734,-0.3313329828477638,0.1408284248530684,-0.1702836320171772,-0.1652029372766412,False
BBP,hexane,predicted,131.6,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.3384750395054658,0.4202326572020911,-0.0701205684597886,predicted,131.6,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.17157756604215155,0.2482544889982408,-0.22408899434353047,0.24806932749267185,-0.17197816820385028,-0.16689747346331427,False
BBP,isopropanol,predicted,76.93765202918961,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.4490145979695366,0.763889176499766,0.2735186317045892,predicted,76.93765202918961,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.3988153515532282,0.7086092353429216,0.23624771972313455,0.7084240738373526,-0.055279941156844314,-0.05019924641630835,False
BBP,isopropylamine,predicted,86.42863409070969,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.9509818364858655,1.215337693951675,0.7249484373528529,predicted,86.42863409070969,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.0753834072628026,1.334658569988076,0.8622714390425648,1.3344734084825067,0.11932087603640107,0.12440157077693703,False
BBP,methanol,predicted,40.7,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.052555958943468144,0.64397505669281,0.15363854607683014,predicted,40.7,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,-0.1429675264234652,0.4433708765853407,-0.02892570536583705,0.4431857150797718,-0.20060418010746928,-0.19552348536693334,False
BBP,methylacetate,predicted,79.9600626045658,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.4694169672340969,1.7675573487324792,1.2771467606751823,predicted,79.9600626045658,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.166149719471316,1.4592094062291623,0.9868166249430352,1.459024244723593,-0.3083479425033169,-0.3032672477627809,False
BBP,"n,n-dimethylformamide",predicted,77.34806045201447,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.6177307626305626,1.9302948416220773,1.4398734230546353,predicted,77.34806045201447,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.2369505158095317,1.5444339000605105,1.0720313998883846,1.5442487385549415,-0.3858609415615668,-0.38078024682103084,False
BBP,o-xylene,predicted,121.3237646843717,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.141921229752556,1.2589888586931601,0.7685942097567365,predicted,121.3237646843717,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.0207047188504763,1.1326916530505444,0.6603051533494818,1.1325064915449756,-0.1262972056426157,-0.12121651090207974,False
BBP,tert-butanol,predicted,94.92604213357237,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.6271960054602904,0.8508241387496912,0.36044479560458165,predicted,94.92604213357237,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.48516279999293727,0.703710238541802,0.23134172628554128,0.7035250770362331,-0.14711390020788917,-0.14203320546735315,False
BBP,tetrahydrofuran,predicted,81.74256878009076,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.742690160530805,2.0312553861056992,1.5408291456242937,predicted,81.74256878009076,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.5390070309159074,1.8224915617502657,1.350077091926738,1.8223064002446971,-0.2087638243554335,-0.20368312961489754,False
